function,blocks,threads,time(ms),per_op(ms)
192F-verify,224,192,357.50,0.0109
192F-verify,256,192,357.92,0.0109
192F-verify,32,224,664.62,0.0203
192F-verify,64,224,480.05,0.0146
192F-verify,96,224,397.87,0.0121
192F-verify,128,224,426.21,0.0130
192F-verify,160,224,386.59,0.0118
192F-verify,192,224,385.86,0.0118
192F-verify,224,224,386.00,0.0118
192F-verify,256,224,386.36,0.0118
192F-verify,32,256,569.96,0.0174
192F-verify,64,256,392.55,0.0120
192F-verify,96,256,418.14,0.0128
192F-verify,128,256,334.05,0.0102
192F-verify,160,256,335.11,0.0102
192F-verify,192,256,335.26,0.0102
192F-verify,224,256,335.23,0.0102
192F-verify,256,256,335.29,0.0102
192F-verify,32,320,646.89,0.0197
192F-verify,64,320,412.58,0.0126
192F-verify,96,320,480.08,0.0147
192F-verify,128,320,352.57,0.0108
192F-verify,160,320,351.84,0.0107
192F-verify,192,320,352.55,0.0108
192F-verify,224,320,351.82,0.0107
192F-verify,256,320,353.06,0.0108
192F-verify,32,384,541.15,0.0165
192F-verify,64,384,458.26,0.0140
192F-verify,96,384,371.27,0.0113
192F-verify,128,384,372.04,0.0114
192F-verify,160,384,372.09,0.0114
192F-verify,192,384,372.08,0.0114
192F-verify,224,384,372.06,0.0114
192F-verify,256,384,372.01,0.0114
192F-verify,32,512,449.55,0.0137
192F-verify,64,512,372.07,0.0114
192F-verify,96,512,374.19,0.0114
192F-verify,128,512,374.37,0.0114
192F-verify,160,512,374.35,0.0114
192F-verify,192,512,374.24,0.0114
192F-verify,224,512,374.23,0.0114
192F-verify,256,512,374.67,0.0114
