function,blocks,threads,time(ms),per_op(ms)
192F-keypair,32,64,501.56,0.0153
192F-keypair,64,64,251.28,0.0077
192F-keypair,96,64,190.17,0.0058
192F-keypair,128,64,129.79,0.0040
192F-keypair,160,64,156.22,0.0048
192F-keypair,192,64,126.63,0.0039
192F-keypair,224,64,139.82,0.0043
192F-keypair,256,64,114.07,0.0035
192F-keypair,32,96,352.50,0.0108
192F-keypair,64,96,194.37,0.0059
192F-keypair,96,96,143.06,0.0044
192F-keypair,128,96,123.37,0.0038
192F-keypair,160,96,151.68,0.0046
192F-keypair,192,96,124.17,0.0038
192F-keypair,224,96,116.14,0.0035
192F-keypair,256,96,111.52,0.0034
192F-keypair,32,128,267.84,0.0082
192F-keypair,64,128,147.65,0.0045
192F-keypair,96,128,134.53,0.0041
192F-keypair,128,128,114.25,0.0035
192F-keypair,160,128,123.94,0.0038
192F-keypair,192,128,120.98,0.0037
192F-keypair,224,128,123.94,0.0038
192F-keypair,256,128,95.30,0.0029
192F-keypair,32,160,275.67,0.0084
192F-keypair,64,160,172.61,0.0053
192F-keypair,96,160,155.64,0.0047
192F-keypair,128,160,120.50,0.0037
192F-keypair,160,160,132.07,0.0040
192F-keypair,192,160,138.66,0.0042
192F-keypair,224,160,107.99,0.0033
192F-keypair,256,160,107.99,0.0033
192F-keypair,32,192,245.64,0.0075
192F-keypair,64,192,141.87,0.0043
192F-keypair,96,192,127.15,0.0039
192F-keypair,128,192,118.70,0.0036
192F-keypair,160,192,143.96,0.0044
192F-keypair,192,192,106.67,0.0033
192F-keypair,224,192,107.31,0.0033
192F-keypair,256,192,106.67,0.0033
192F-keypair,32,224,217.55,0.0066
192F-keypair,64,224,155.47,0.0047
192F-keypair,96,224,122.27,0.0037
192F-keypair,128,224,130.24,0.0040
192F-keypair,160,224,115.55,0.0035
192F-keypair,192,224,115.35,0.0035
192F-keypair,224,224,115.79,0.0035
192F-keypair,256,224,115.83,0.0035
192F-keypair,32,256,181.94,0.0056
192F-keypair,64,256,126.13,0.0038
192F-keypair,96,256,129.60,0.0040
192F-keypair,128,256,94.35,0.0029
192F-keypair,160,256,94.58,0.0029
192F-keypair,192,256,94.62,0.0029
192F-keypair,224,256,94.74,0.0029
192F-keypair,256,256,94.95,0.0029
192F-keypair,32,320,211.12,0.0064
192F-keypair,64,320,130.95,0.0040
192F-keypair,96,320,151.36,0.0046
192F-keypair,128,320,103.84,0.0032
192F-keypair,160,320,103.64,0.0032
192F-keypair,192,320,103.88,0.0032
192F-keypair,224,320,103.72,0.0032
192F-keypair,256,320,103.79,0.0032
192F-keypair,32,384,172.90,0.0053
192F-keypair,64,384,145.06,0.0044
192F-keypair,96,384,111.17,0.0034
192F-keypair,128,384,111.09,0.0034
192F-keypair,160,384,110.95,0.0034
192F-keypair,192,384,111.24,0.0034
192F-keypair,224,384,111.14,0.0034
192F-keypair,256,384,111.22,0.0034
192F-keypair,32,512,138.07,0.0042
192F-keypair,64,512,112.31,0.0034
192F-keypair,96,512,112.30,0.0034
192F-keypair,128,512,112.24,0.0034
192F-keypair,160,512,112.24,0.0034
192F-keypair,192,512,112.27,0.0034
192F-keypair,224,512,112.31,0.0034
192F-keypair,256,512,112.26,0.0034
192F-sign,32,64,14600.31,0.4456
192F-sign,64,64,7340.71,0.2240
192F-sign,96,64,5576.13,0.1702
192F-sign,128,64,3843.31,0.1173
192F-sign,160,64,4447.97,0.1357
192F-sign,192,64,3601.87,0.1099
192F-sign,224,64,3890.06,0.1187
192F-sign,256,64,3200.88,0.0977
192F-sign,32,96,10349.63,0.3158
192F-sign,64,96,5711.93,0.1743
192F-sign,96,96,4101.48,0.1252
192F-sign,128,96,3568.18,0.1089
192F-sign,160,96,4450.18,0.1358
192F-sign,192,96,3638.85,0.1110
192F-sign,224,96,3371.09,0.1029
192F-sign,256,96,3340.84,0.1020
192F-sign,32,128,7928.82,0.2420
192F-sign,64,128,4162.73,0.1270
192F-sign,96,128,3706.11,0.1131
192F-sign,128,128,3198.89,0.0976
192F-sign,160,128,3530.56,0.1077
192F-sign,192,128,3451.25,0.1053
192F-sign,224,128,3741.98,0.1142
192F-sign,256,128,2984.22,0.0911
192F-sign,32,160,8025.05,0.2449
192F-sign,64,160,4920.57,0.1502
192F-sign,96,160,4422.77,0.1350
192F-sign,128,160,3501.04,0.1068
192F-sign,160,160,3890.11,0.1187
192F-sign,192,160,4114.79,0.1256
192F-sign,224,160,3272.51,0.0999
192F-sign,256,160,3276.34,0.1000
192F-sign,32,192,7246.72,0.2212
192F-sign,64,192,4131.37,0.1261
192F-sign,96,192,3651.53,0.1114
192F-sign,128,192,3578.91,0.1092
192F-sign,160,192,4343.39,0.1325
192F-sign,192,192,3211.69,0.0980
192F-sign,224,192,3213.82,0.0981
192F-sign,256,192,3211.41,0.0980
192F-sign,32,224,6494.61,0.1982
192F-sign,64,224,4509.68,0.1376
192F-sign,96,224,3628.37,0.1107
192F-sign,128,224,3925.35,0.1198
192F-sign,160,224,3531.04,0.1078
192F-sign,192,224,3530.49,0.1077
192F-sign,224,224,3524.26,0.1076
192F-sign,256,224,3531.21,0.1078
192F-sign,32,256,5448.92,0.1663
192F-sign,64,256,3594.38,0.1097
192F-sign,96,256,3824.80,0.1167
192F-sign,128,256,2933.84,0.0895
192F-sign,160,256,2934.51,0.0896
192F-sign,192,256,2934.08,0.0895
192F-sign,224,256,2934.41,0.0896
192F-sign,256,256,2934.32,0.0895
192F-sign,32,320,6241.05,0.1905
192F-sign,64,320,3840.77,0.1172
192F-sign,96,320,4519.97,0.1379
192F-sign,128,320,3125.97,0.0954
192F-sign,160,320,3130.60,0.0955
192F-sign,192,320,3126.61,0.0954
192F-sign,224,320,3130.44,0.0955
192F-sign,256,320,3126.17,0.0954
192F-sign,32,384,5099.67,0.1556
192F-sign,64,384,4266.16,0.1302
192F-sign,96,384,3395.07,0.1036
192F-sign,128,384,3395.29,0.1036
192F-sign,160,384,3395.33,0.1036
192F-sign,192,384,3395.36,0.1036
192F-sign,224,384,3395.63,0.1036
192F-sign,256,384,3395.80,0.1036
192F-sign,32,512,4134.14,0.1262
192F-sign,64,512,3343.01,0.1020
192F-sign,96,512,3343.00,0.1020
192F-sign,128,512,3342.33,0.1020
192F-sign,160,512,3342.51,0.1020
192F-sign,192,512,3342.70,0.1020
192F-sign,224,512,3342.52,0.1020
192F-sign,256,512,3343.00,0.1020
192F-verify,32,64,1462.50,0.0446
192F-verify,64,64,758.48,0.0231
192F-verify,96,64,584.74,0.0178
192F-verify,128,64,411.94,0.0126
192F-verify,160,64,478.77,0.0146
192F-verify,192,64,395.91,0.0121
192F-verify,224,64,426.34,0.0130
192F-verify,256,64,365.82,0.0112
192F-verify,32,96,1067.11,0.0326
192F-verify,64,96,610.83,0.0186
192F-verify,96,96,438.59,0.0134
192F-verify,128,96,391.83,0.0120
192F-verify,160,96,476.86,0.0146
192F-verify,192,96,394.65,0.0120
192F-verify,224,96,377.35,0.0115
192F-verify,256,96,371.49,0.0113
192F-verify,32,128,829.60,0.0253
192F-verify,64,128,447.37,0.0137
192F-verify,96,128,400.74,0.0122
192F-verify,128,128,366.03,0.0112
192F-verify,160,128,385.65,0.0118
192F-verify,192,128,381.14,0.0116
192F-verify,224,128,410.73,0.0125
192F-verify,256,128,335.56,0.0102
192F-verify,32,160,814.67,0.0249
192F-verify,64,160,510.79,0.0156
192F-verify,96,160,471.73,0.0144
192F-verify,128,160,381.19,0.0116
192F-verify,160,160,421.12,0.0129
192F-verify,192,160,442.16,0.0135
192F-verify,224,160,361.65,0.0110
192F-verify,256,160,363.43,0.0111
192F-verify,32,192,743.77,0.0227
192F-verify,64,192,437.77,0.0134
192F-verify,96,192,407.05,0.0124
192F-verify,128,192,391.22,0.0119
192F-verify,160,192,460.48,0.0141
192F-verify,192,192,357.49,0.0109
