function,blocks,threads,time(ms),per_op(ms)
128S-sign,224,256,27340.92,0.8344
128S-sign,256,256,27339.86,0.8343
128S-sign,32,320,61631.61,1.8808
128S-sign,64,320,37670.92,1.1496
128S-sign,96,320,44762.57,1.3660
128S-sign,128,320,30480.06,0.9302
128S-sign,160,320,30581.32,0.9333
128S-sign,192,320,30483.11,0.9303
128S-sign,224,320,30579.38,0.9332
128S-sign,256,320,30488.43,0.9304
128S-sign,32,384,49748.80,1.5182
128S-sign,64,384,42703.40,1.3032
128S-sign,96,384,33832.80,1.0325
128S-sign,128,384,33835.93,1.0326
128S-sign,160,384,33835.32,1.0326
128S-sign,192,384,33835.88,1.0326
128S-sign,224,384,33834.50,1.0325
128S-sign,256,384,33836.53,1.0326
128S-sign,32,512,40637.76,1.2402
128S-sign,64,512,32680.75,0.9973
128S-sign,96,512,32685.15,0.9975
128S-sign,128,512,32686.20,0.9975
128S-sign,160,512,32685.90,0.9975
128S-sign,192,512,32687.66,0.9975
128S-sign,224,512,32692.23,0.9977
128S-sign,256,512,32691.94,0.9977
128S-verify,32,64,314.23,0.0096
128S-verify,64,64,163.92,0.0050
128S-verify,96,64,128.79,0.0039
128S-verify,128,64,101.06,0.0031
128S-verify,160,64,113.91,0.0035
128S-verify,192,64,96.14,0.0029
128S-verify,224,64,102.78,0.0031
128S-verify,256,64,87.94,0.0027
128S-verify,32,96,226.19,0.0069
128S-verify,64,96,130.34,0.0040
128S-verify,96,96,105.10,0.0032
128S-verify,128,96,97.16,0.0030
128S-verify,160,96,110.59,0.0034
128S-verify,192,96,94.08,0.0029
128S-verify,224,96,88.70,0.0027
128S-verify,256,96,81.86,0.0025
128S-verify,32,128,173.01,0.0053
128S-verify,64,128,96.10,0.0029
128S-verify,96,128,96.34,0.0029
128S-verify,128,128,88.00,0.0027
128S-verify,160,128,91.38,0.0028
128S-verify,192,128,85.92,0.0026
128S-verify,224,128,88.66,0.0027
128S-verify,256,128,70.06,0.0021
128S-verify,32,160,173.51,0.0053
128S-verify,64,160,114.41,0.0035
128S-verify,96,160,108.88,0.0033
128S-verify,128,160,89.89,0.0027
128S-verify,160,160,94.07,0.0029
128S-verify,192,160,100.22,0.0031
128S-verify,224,160,82.30,0.0025
128S-verify,256,160,81.71,0.0025
128S-verify,32,192,157.89,0.0048
128S-verify,64,192,96.30,0.0029
128S-verify,96,192,88.91,0.0027
128S-verify,128,192,85.71,0.0026
128S-verify,160,192,102.30,0.0031
128S-verify,192,192,80.49,0.0025
128S-verify,224,192,80.20,0.0024
128S-verify,256,192,80.56,0.0025
128S-verify,32,224,141.37,0.0043
128S-verify,64,224,104.16,0.0032
128S-verify,96,224,85.56,0.0026
128S-verify,128,224,89.46,0.0027
128S-verify,160,224,84.04,0.0026
128S-verify,192,224,83.95,0.0026
128S-verify,224,224,83.65,0.0026
128S-verify,256,224,83.97,0.0026
128S-verify,32,256,119.55,0.0036
128S-verify,64,256,85.44,0.0026
128S-verify,96,256,90.73,0.0028
128S-verify,128,256,69.27,0.0021
128S-verify,160,256,69.31,0.0021
128S-verify,192,256,69.27,0.0021
128S-verify,224,256,69.31,0.0021
128S-verify,256,256,69.40,0.0021
128S-verify,32,320,138.61,0.0042
128S-verify,64,320,91.71,0.0028
128S-verify,96,320,107.41,0.0033
128S-verify,128,320,76.72,0.0023
128S-verify,160,320,77.88,0.0024
128S-verify,192,320,76.66,0.0023
128S-verify,224,320,77.73,0.0024
128S-verify,256,320,76.77,0.0023
128S-verify,32,384,115.37,0.0035
128S-verify,64,384,102.96,0.0031
128S-verify,96,384,86.20,0.0026
128S-verify,128,384,86.31,0.0026
128S-verify,160,384,86.27,0.0026
128S-verify,192,384,86.26,0.0026
128S-verify,224,384,86.27,0.0026
128S-verify,256,384,86.28,0.0026
128S-verify,32,512,95.81,0.0029
128S-verify,64,512,81.49,0.0025
128S-verify,96,512,81.46,0.0025
128S-verify,128,512,81.46,0.0025
128S-verify,160,512,81.48,0.0025
128S-verify,192,512,81.48,0.0025
128S-verify,224,512,81.50,0.0025
128S-verify,256,512,81.46,0.0025
