blocks, threads, time(ms), per op(ms)
32, 64, 310.03, 0.0095
64, 64, 155.41, 0.0047
96, 64, 118.89, 0.0036
128, 64, 90.56, 0.0028
160, 64, 102.16, 0.0031
192, 64, 85.41, 0.0026
224, 64, 87.52, 0.0027
256, 64, 73.74, 0.0023
32, 96, 220.69, 0.0067
64, 96, 121.18, 0.0037
96, 96, 97.79, 0.0030
128, 96, 83.57, 0.0026
160, 96, 98.36, 0.0030
192, 96, 80.60, 0.0025
224, 96, 75.13, 0.0023
256, 96, 72.33, 0.0022
32, 128, 166.08, 0.0051
64, 128, 87.74, 0.0027
96, 128, 87.18, 0.0027
128, 128, 73.76, 0.0023
160, 128, 80.94, 0.0025
192, 128, 73.53, 0.0022
224, 128, 79.49, 0.0024
256, 128, 63.36, 0.0019
32, 160, 165.79, 0.0051
64, 160, 102.57, 0.0031
96, 160, 94.84, 0.0029
128, 160, 72.90, 0.0022
160, 160, 80.25, 0.0024
192, 160, 83.47, 0.0025
224, 160, 65.03, 0.0020
256, 160, 65.39, 0.0020
32, 192, 161.13, 0.0049
64, 192, 90.02, 0.0027
96, 192, 78.98, 0.0024
128, 192, 74.41, 0.0023
160, 192, 89.56, 0.0027
192, 192, 65.52, 0.0020
224, 192, 65.47, 0.0020
256, 192, 65.70, 0.0020
32, 224, 141.89, 0.0043
64, 224, 102.28, 0.0031
96, 224, 79.14, 0.0024
128, 224, 83.17, 0.0025
160, 224, 73.44, 0.0022
192, 224, 73.68, 0.0022
224, 224, 73.58, 0.0022
256, 224, 73.63, 0.0022
32, 256, 120.29, 0.0037
64, 256, 84.23, 0.0026
96, 256, 83.69, 0.0026
128, 256, 62.81, 0.0019
160, 256, 62.82, 0.0019
192, 256, 62.82, 0.0019
224, 256, 62.81, 0.0019
256, 256, 62.82, 0.0019
32, 320, 134.56, 0.0041
64, 320, 81.59, 0.0025
96, 320, 94.71, 0.0029
128, 320, 64.29, 0.0020
160, 320, 64.67, 0.0020
192, 320, 64.30, 0.0020
224, 320, 64.68, 0.0020
256, 320, 64.25, 0.0020
32, 384, 107.61, 0.0033
64, 384, 90.26, 0.0028
96, 384, 69.06, 0.0021
128, 384, 69.06, 0.0021
160, 384, 69.08, 0.0021
192, 384, 69.09, 0.0021
224, 384, 69.07, 0.0021
256, 384, 69.09, 0.0021
32, 512, 85.26, 0.0026
64, 512, 71.70, 0.0022
96, 512, 71.66, 0.0022
128, 512, 71.70, 0.0022
160, 512, 71.68, 0.0022
192, 512, 71.70, 0.0022
224, 512, 71.71, 0.0022
256, 512, 71.71, 0.0022
