function,blocks,threads,time(ms),per_op(ms)
192S-keypair,128,320,6366.58,0.1943
192S-keypair,160,320,6401.37,0.1954
192S-keypair,192,320,6367.07,0.1943
192S-keypair,224,320,6401.11,0.1953
192S-keypair,256,320,6366.79,0.1943
192S-keypair,32,384,11132.37,0.3397
192S-keypair,64,384,8982.18,0.2741
192S-keypair,96,384,6948.72,0.2121
192S-keypair,128,384,6954.12,0.2122
192S-keypair,160,384,6955.62,0.2123
192S-keypair,192,384,6954.41,0.2122
192S-keypair,224,384,6954.48,0.2122
192S-keypair,256,384,6954.31,0.2122
192S-keypair,32,512,8802.32,0.2686
192S-keypair,64,512,7152.96,0.2183
192S-keypair,96,512,7152.94,0.2183
192S-keypair,128,512,7152.62,0.2183
192S-keypair,160,512,7152.44,0.2183
192S-keypair,192,512,7152.99,0.2183
192S-keypair,224,512,7153.11,0.2183
192S-keypair,256,512,7153.07,0.2183
192S-sign,32,64,292459.81,8.9252
192S-sign,64,64,146523.60,4.4715
192S-sign,96,64,110576.74,3.3745
192S-sign,128,64,74752.21,2.2813
192S-sign,160,64,88530.60,2.7017
192S-sign,192,64,71352.78,2.1775
192S-sign,224,64,77511.54,2.3655
192S-sign,256,64,63821.16,1.9477
192S-sign,32,96,206038.27,6.2878
192S-sign,64,96,113034.62,3.4495
192S-sign,96,96,78786.08,2.4044
192S-sign,128,96,70965.51,2.1657
192S-sign,160,96,88490.28,2.7005
192S-sign,192,96,71911.03,2.1946
192S-sign,224,96,65925.74,2.0119
192S-sign,256,96,64418.07,1.9659
192S-sign,32,128,156865.36,4.7872
192S-sign,64,128,79304.59,2.4202
192S-sign,96,128,72078.51,2.1997
192S-sign,128,128,63808.40,1.9473
192S-sign,160,128,69207.76,2.1121
192S-sign,192,128,67143.16,2.0490
192S-sign,224,128,73626.36,2.2469
192S-sign,256,128,57130.28,1.7435
192S-sign,32,160,157142.81,4.7956
192S-sign,64,160,94110.63,2.8720
192S-sign,96,160,86230.95,2.6316
192S-sign,128,160,66851.89,2.0402
192S-sign,160,160,75440.22,2.3023
192S-sign,192,160,80086.63,2.4441
192S-sign,224,160,61685.12,1.8825
192S-sign,256,160,62048.11,1.8936
192S-sign,32,192,145470.36,4.4394
192S-sign,64,192,79510.64,2.4265
192S-sign,96,192,70708.30,2.1578
192S-sign,128,192,68486.52,2.0900
192S-sign,160,192,84819.87,2.5885
192S-sign,192,192,61428.43,1.8746
192S-sign,224,192,61618.76,1.8805
192S-sign,256,192,61407.37,1.8740
192S-sign,32,224,134753.24,4.1123
192S-sign,64,224,89535.50,2.7324
192S-sign,96,224,70681.95,2.1570
192S-sign,128,224,77101.53,2.3530
192S-sign,160,224,67144.04,2.0491
192S-sign,192,224,67278.18,2.0532
192S-sign,224,224,67128.16,2.0486
192S-sign,256,224,67401.68,2.0569
192S-sign,32,256,112220.42,3.4247
192S-sign,64,256,69521.37,2.1216
192S-sign,96,256,75306.46,2.2982
192S-sign,128,256,56135.69,1.7131
192S-sign,160,256,56130.44,1.7130
192S-sign,192,256,56186.45,1.7147
192S-sign,224,256,56286.25,1.7177
192S-sign,256,256,56290.41,1.7178
192S-sign,32,320,126900.91,3.8727
192S-sign,64,320,74590.54,2.2763
192S-sign,96,320,87427.01,2.6681
192S-sign,128,320,58325.57,1.7800
192S-sign,160,320,58379.93,1.7816
192S-sign,192,320,58337.09,1.7803
192S-sign,224,320,58380.71,1.7816
192S-sign,256,320,58467.67,1.7843
192S-sign,32,384,100923.96,3.0800
192S-sign,64,384,83364.26,2.5441
192S-sign,96,384,63314.80,1.9322
192S-sign,128,384,63342.24,1.9331
192S-sign,160,384,63358.46,1.9335
192S-sign,192,384,63358.09,1.9335
192S-sign,224,384,63360.98,1.9336
192S-sign,256,384,63344.54,1.9331
192S-sign,32,512,79930.39,2.4393
192S-sign,64,512,63622.52,1.9416
192S-sign,96,512,63636.83,1.9420
192S-sign,128,512,63637.97,1.9421
192S-sign,160,512,63639.06,1.9421
192S-sign,192,512,63635.51,1.9420
192S-sign,224,512,63641.44,1.9422
192S-sign,256,512,63631.74,1.9419
192S-verify,32,64,526.06,0.0161
192S-verify,64,64,278.39,0.0085
192S-verify,96,64,218.63,0.0067
192S-verify,128,64,156.08,0.0048
192S-verify,160,64,175.60,0.0054
192S-verify,192,64,147.05,0.0045
192S-verify,224,64,155.43,0.0047
192S-verify,256,64,131.07,0.0040
192S-verify,32,96,381.23,0.0116
192S-verify,64,96,221.66,0.0068
192S-verify,96,96,162.37,0.0050
192S-verify,128,96,144.25,0.0044
192S-verify,160,96,171.03,0.0052
192S-verify,192,96,143.51,0.0044
192S-verify,224,96,137.78,0.0042
192S-verify,256,96,138.43,0.0042
192S-verify,32,128,302.14,0.0092
192S-verify,64,128,165.72,0.0051
192S-verify,96,128,148.37,0.0045
192S-verify,128,128,131.33,0.0040
192S-verify,160,128,142.29,0.0043
192S-verify,192,128,140.48,0.0043
192S-verify,224,128,150.79,0.0046
192S-verify,256,128,124.16,0.0038
192S-verify,32,160,297.56,0.0091
192S-verify,64,160,185.52,0.0057
192S-verify,96,160,174.70,0.0053
192S-verify,128,160,141.29,0.0043
192S-verify,160,160,154.31,0.0047
192S-verify,192,160,161.40,0.0049
192S-verify,224,160,133.02,0.0041
192S-verify,256,160,133.55,0.0041
192S-verify,32,192,270.40,0.0083
192S-verify,64,192,157.01,0.0048
192S-verify,96,192,146.84,0.0045
192S-verify,128,192,145.27,0.0044
192S-verify,160,192,170.64,0.0052
192S-verify,192,192,132.09,0.0040
192S-verify,224,192,132.52,0.0040
192S-verify,256,192,132.13,0.0040
192S-verify,32,224,243.29,0.0074
192S-verify,64,224,171.45,0.0052
192S-verify,96,224,144.95,0.0044
192S-verify,128,224,156.17,0.0048
192S-verify,160,224,143.76,0.0044
192S-verify,192,224,144.06,0.0044
192S-verify,224,224,143.81,0.0044
192S-verify,256,224,144.20,0.0044
192S-verify,32,256,209.15,0.0064
192S-verify,64,256,139.75,0.0043
192S-verify,96,256,155.11,0.0047
192S-verify,128,256,124.39,0.0038
192S-verify,160,256,125.10,0.0038
192S-verify,192,256,125.50,0.0038
192S-verify,224,256,125.27,0.0038
192S-verify,256,256,125.32,0.0038
192S-verify,32,320,238.95,0.0073
192S-verify,64,320,151.62,0.0046
192S-verify,96,320,176.08,0.0054
192S-verify,128,320,129.49,0.0040
192S-verify,160,320,129.81,0.0040
192S-verify,192,320,129.79,0.0040
192S-verify,224,320,129.74,0.0040
192S-verify,256,320,129.81,0.0040
192S-verify,32,384,201.07,0.0061
192S-verify,64,384,168.94,0.0052
192S-verify,96,384,138.19,0.0042
192S-verify,128,384,138.73,0.0042
192S-verify,160,384,138.88,0.0042
192S-verify,192,384,138.72,0.0042
192S-verify,224,384,138.63,0.0042
192S-verify,256,384,138.83,0.0042
192S-verify,32,512,169.42,0.0052
192S-verify,64,512,139.49,0.0043
192S-verify,96,512,140.25,0.0043
192S-verify,128,512,140.33,0.0043
192S-verify,160,512,140.18,0.0043
192S-verify,192,512,140.28,0.0043
192S-verify,224,512,140.23,0.0043
192S-verify,256,512,140.20,0.0043
