function,blocks,threads,time(ms),per_op(ms)
192S-keypair,32,64,32048.92,0.9781
192S-keypair,64,64,16043.47,0.4896
192S-keypair,96,64,12122.40,0.3699
192S-keypair,128,64,8248.32,0.2517
192S-keypair,160,64,9634.08,0.2940
192S-keypair,192,64,7646.61,0.2334
192S-keypair,224,64,8444.22,0.2577
192S-keypair,256,64,6896.21,0.2105
192S-keypair,32,96,22524.23,0.6874
192S-keypair,64,96,12314.31,0.3758
192S-keypair,96,96,8653.90,0.2641
192S-keypair,128,96,7741.71,0.2363
192S-keypair,160,96,9534.73,0.2910
192S-keypair,192,96,7654.95,0.2336
192S-keypair,224,96,7123.64,0.2174
192S-keypair,256,96,6961.02,0.2124
192S-keypair,32,128,16943.57,0.5171
192S-keypair,64,128,8615.77,0.2629
192S-keypair,96,128,7874.86,0.2403
192S-keypair,128,128,6899.78,0.2106
192S-keypair,160,128,7472.57,0.2280
192S-keypair,192,128,7060.58,0.2155
192S-keypair,224,128,7737.02,0.2361
192S-keypair,256,128,6085.66,0.1857
192S-keypair,32,160,17077.34,0.5212
192S-keypair,64,160,10142.44,0.3095
192S-keypair,96,160,9538.46,0.2911
192S-keypair,128,160,7513.63,0.2293
192S-keypair,160,160,8198.93,0.2502
192S-keypair,192,160,8569.44,0.2615
192S-keypair,224,160,6644.60,0.2028
192S-keypair,256,160,6651.41,0.2030
192S-keypair,32,192,15138.68,0.4620
192S-keypair,64,192,8249.01,0.2517
192S-keypair,96,192,7650.35,0.2335
192S-keypair,128,192,7389.39,0.2255
192S-keypair,160,192,9015.12,0.2751
192S-keypair,192,192,6670.19,0.2036
192S-keypair,224,192,6689.24,0.2041
192S-keypair,256,192,6672.84,0.2036
192S-keypair,32,224,13441.84,0.4102
192S-keypair,64,224,9196.27,0.2806
192S-keypair,96,224,7362.86,0.2247
192S-keypair,128,224,8160.74,0.2490
192S-keypair,160,224,7397.37,0.2257
192S-keypair,192,224,7356.77,0.2245
192S-keypair,224,224,7374.26,0.2250
192S-keypair,256,224,7361.81,0.2247
192S-keypair,32,256,11557.13,0.3527
192S-keypair,64,256,7234.78,0.2208
192S-keypair,96,256,7935.29,0.2422
192S-keypair,128,256,6015.87,0.1836
192S-keypair,160,256,6017.07,0.1836
192S-keypair,192,256,6017.53,0.1836
192S-keypair,224,256,6015.79,0.1836
192S-keypair,256,256,6018.71,0.1837
192S-keypair,32,320,13439.65,0.4101
192S-keypair,64,320,8042.54,0.2454
192S-keypair,96,320,9474.76,0.2891
